Strategy 1000 of 1000 done.
Strategy: {:gold=>0.7692082813396617, :food=>0.6563434471739766, :prestige=>0.8301273157348041, :reputation=>0.13467135146293518, :power=>0.6610109048200972, :risk=>-0.3673144563734363, :karma=>0.1065595356395952, :general=>1} won 31 times
Strategy: {:gold=>1.606402534123857, :food=>1.0421121149603605, :prestige=>1.1251100039147197, :reputation=>1.5802032698308532, :power=>1.950994295134537, :risk=>-1.5104012984196185, :karma=>1.6097744924007265, :general=>1} won 31 times
Strategy: {:gold=>1.864862357473689, :food=>1.5463548720874816, :prestige=>0.01953727733230659, :reputation=>-1.8199333311624035, :power=>1.0860897239267042, :risk=>-1.5451445573346585, :karma=>0.08381014142821708, :general=>1} won 31 times
Strategy: {:gold=>0.6586820748674287, :food=>1.1766921824227747, :prestige=>1.4736509542337084, :reputation=>-1.082448857105911, :power=>1.7268716996505837, :risk=>-0.510184892547799, :karma=>0.4668740955462558, :general=>1} won 31 times 
Strategy: {:gold=>1.4699897999001355, :food=>1.0015749209123515, :prestige=>0.08621787059874042, :reputation=>-1.6763154757028995, :power=>1.9771415971455029, :risk=>0.6725966222307322, :karma=>0.5268355940521772, :general=>1} won 31 times
Strategy: {:gold=>0.15542112899049276, :food=>1.0915668462784363, :prestige=>1.1534199793015276, :reputation=>-1.8412709568408565, :power=>1.136812352013063, :risk=>0.8464890599022517, :karma=>1.0819191262595778, :general=>1} won 31 times
Strategy: {:gold=>1.4463536791278386, :food=>1.705719023068336, :prestige=>0.9382184711874586, :reputation=>-1.4128483804040775, :power=>1.9823816799827831, :risk=>-0.9146259643023884, :karma=>0.26861322810249266, :general=>1} won 31 times
Strategy: {:gold=>0.3212713448290161, :food=>0.0778074690302415, :prestige=>0.7380144052347744, :reputation=>-0.3509038898042127, :power=>1.7077890784260297, :risk=>0.6177913552472467, :karma=>0.5713009872927264, :general=>1} won 31 times
Strategy: {:gold=>1.539954052227937, :food=>1.263081030762077, :prestige=>0.12424578600316583, :reputation=>0.274344022815979, :power=>1.0268629547720058, :risk=>0.034596957541363604, :karma=>0.7508252093956176, :general=>1} won 31 times 
Strategy: {:gold=>0.17357531928763725, :food=>1.1742593943740127, :prestige=>0.13500353729980152, :reputation=>1.343828178289721, :power=>1.8790574409604996, :risk=>0.44045027539543247, :karma=>1.037452707609724, :general=>1} won 31 times
Strategy: {:gold=>1.2537409585142807, :food=>1.2599518753237415, :prestige=>1.4380330076957948, :reputation=>-1.8721543555486964, :power=>1.898873024444982, :risk=>-0.5858970091396194, :karma=>1.5786176225570476, :general=>1} won 31 times
Strategy: {:gold=>1.0573630875892237, :food=>1.5350612490105433, :prestige=>0.2626434707156511, :reputation=>-0.6341221411643714, :power=>1.703516113148852, :risk=>-0.5612670972244218, :karma=>0.98052149191085, :general=>1} won 31 times
Strategy: {:gold=>1.7062356704711772, :food=>1.1695708773786677, :prestige=>0.520915675519944, :reputation=>-1.5863202610214184, :power=>-0.4958527648920875, :risk=>0.2827404512353757, :karma=>0.7671688585657641, :general=>1} won 31 times
Strategy: {:gold=>1.6260615660469966, :food=>0.5032474537038512, :prestige=>0.3973636739895767, :reputation=>-0.9111260096969884, :power=>0.5346487127070767, :risk=>0.5458158241059814, :karma=>0.4282580931682982, :general=>1} won 31 times
Strategy: {:gold=>1.132161105833283, :food=>0.10878696784815656, :prestige=>1.5904537051977827, :reputation=>1.5662566022616704, :power=>1.238094534704984, :risk=>-0.8991093307634432, :karma=>0.9814201267108651, :general=>1} won 31 times 
Strategy: {:gold=>1.7215642249269352, :food=>0.5148710007084376, :prestige=>1.0218332541779014, :reputation=>0.6313958248430125, :power=>1.6404310549593903, :risk=>-1.0416500767497867, :karma=>1.6812603592572306, :general=>1} won 31 times
Strategy: {:gold=>1.0209341163975174, :food=>1.5178231191899783, :prestige=>1.3008132230158074, :reputation=>-0.1385527433241811, :power=>0.9751727067584788, :risk=>-0.15910139316319305, :karma=>1.4150043780765462, :general=>1} won 31 times
Strategy: {:gold=>0.3934504973296278, :food=>0.9504953937497473, :prestige=>0.8193110697677137, :reputation=>0.0687998152090743, :power=>1.4693897492586339, :risk=>0.010486753971725271, :karma=>0.10132195378035491, :general=>1} won 31 times
Strategy: {:gold=>0.8782814417398639, :food=>0.5338105809439622, :prestige=>0.7485472220071574, :reputation=>0.5807855611122617, :power=>1.9448572986009207, :risk=>-0.33228791658209356, :karma=>0.9094608264448478, :general=>1} won 31 times
Strategy: {:gold=>0.9563000222725235, :food=>0.08242421607521733, :prestige=>0.6762731502360586, :reputation=>0.11137356338475124, :power=>1.9592750833657182, :risk=>-0.501112316691015, :karma=>1.0089062552984165, :general=>1} won 31 times
Strategy: {:gold=>1.010562845594286, :food=>0.5070227444569377, :prestige=>1.8250708608047528, :reputation=>-1.5477146911339994, :power=>1.3518595506273425, :risk=>0.040572692555122636, :karma=>0.6346657913520442, :general=>1} won 31 times
Strategy: {:gold=>1.3605702252119964, :food=>1.9351978996892463, :prestige=>0.5559522404069748, :reputation=>1.644304320440225, :power=>0.6878632168380618, :risk=>-0.14871294871845775, :karma=>1.0495451298199991, :general=>1} won 31 times
Strategy: {:gold=>0.7827806876182337, :food=>1.46504325945652, :prestige=>0.6981769068896126, :reputation=>1.763188471910342, :power=>1.7815813437224501, :risk=>0.248274630784727, :karma=>0.04023192819089716, :general=>1} won 31 times
Strategy: {:gold=>0.2667509541061548, :food=>0.18555148463159132, :prestige=>1.9162140878290062, :reputation=>1.4407540850531948, :power=>1.8305442196332264, :risk=>-0.3674341230204312, :karma=>0.24316118498057704, :general=>1} won 31 times
Strategy: {:gold=>1.6259034281560698, :food=>0.20668736450449332, :prestige=>1.255252289956643, :reputation=>1.9610055159808462, :power=>0.7006624437839206, :risk=>0.16323670403417, :karma=>1.6859332746902795, :general=>1} won 31 times
Strategy: {:gold=>0.40802506618618906, :food=>0.03493847855957588, :prestige=>0.6013835502704012, :reputation=>0.5601751831407396, :power=>1.157213946434413, :risk=>-0.21381128198515853, :karma=>1.5428175691412878, :general=>1} won 31 times
Strategy: {:gold=>0.5097124302138303, :food=>1.8479818222218838, :prestige=>1.1421113673127818, :reputation=>1.4778177856794663, :power=>1.6674129907751798, :risk=>0.565336384540783, :karma=>1.2832481037018129, :general=>1} won 31 times
Strategy: {:gold=>1.43019705282885, :food=>0.4936953389169956, :prestige=>0.5595012859240533, :reputation=>-1.8806083900471364, :power=>0.7004503014418404, :risk=>-0.9775606264695256, :karma=>0.1215462517032686, :general=>1} won 31 times
 Strategy: {:gold=>1.2420360723894548, :food=>1.896043194037518, :prestige=>1.2555746998620534, :reputation=>0.26402122313334386, :power=>0.7320263869428629, :risk=>-0.8009758049061393, :karma=>1.7333120160529314, :general=>1} won 31 times22956
